category,key,count
totals,fixtureCount,23
totals,reportCount,40
totals,comparisonCount,17
fixturesByKind,bytecode,6
fixturesByKind,indexer,3
fixturesByKind,trace,11
fixturesByKind,validator,3
fixturesBySourceType,public-chain,8
fixturesBySourceType,synthetic,15
reportsByRisk,low,7
reportsByRisk,medium,33
reportsByFixtureKind,bytecode,12
reportsByFixtureKind,indexer,3
reportsByFixtureKind,trace,22
reportsByFixtureKind,validator,3
reportsByThresholdProfile,default,23
reportsByThresholdProfile,research,17
findingsById,bytecode.calldata-copy-exposure,8
findingsById,bytecode.contract-creation-opcodes,4
findingsById,bytecode.log-opcodes-present,12
findingsById,bytecode.manual-review-required,12
findingsById,bytecode.state-account-opcode-exposure,10
findingsById,bytecode.state-account-opcode-presence,1
findingsById,bytecode.storage-heavy-pattern,9
findingsById,indexer.balance-diff-native-transfer-assumption,2
findingsById,indexer.event-only-assumption,1
findingsById,indexer.missing-bal-readiness-metadata,2
findingsById,indexer.missing-fork-compatibility-metadata,1
findingsById,indexer.missing-replay-plan,1
findingsById,indexer.native-eth-transfer-review-missing,1
findingsById,trace.calldata-heavy-execution,14
findingsById,trace.contract-creation-executed,10
findingsById,trace.logs-calls-visible,22
findingsById,trace.partial-evidence,12
findingsById,trace.state-heavy-execution-medium,7
findingsById,validator.builder-enabled-without-endpoint,2
findingsById,validator.missing-monitoring-endpoints,2
findingsById,validator.missing-testnet-participation,2
findingsById,validator.missing-validator-client-version,1
findingsById,validator.unknown-consensus-client-compatibility,1
findingsById,validator.unknown-execution-client-compatibility,1
